Year,MAPE,algo,cov,algocov,day,resolution
2014,0.11241144137457779,TFT,SARI,TFT_SARI,1,D
2014,0.2001705049549535,TFT,SARI+LC,TFT_SARI+LC,1,D
2014,0.1403988980223838,TFT,SARI+AGE,TFT_SARI+AGE,1,D
2014,0.1885580805951495,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,1,D
2014,0.11555870651660465,DeepAR,SARI,DeepAR_SARI,1,D
2014,0.10686352820037154,DeepAR,SARI+LC,DeepAR_SARI+LC,1,D
2014,0.08882715585759453,DeepAR,SARI+AGE,DeepAR_SARI+AGE,1,D
2014,0.1368326382809731,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,1,D
2014,0.05217062821304326,Chronos,SARI,Chronos_SARI,1,D
2014,0.1258619949614044,AutoML,SARI,AutoML_SARI,1,D
2015,0.08522443538872933,TFT,SARI,TFT_SARI,1,D
2015,0.19354669550697023,TFT,SARI+LC,TFT_SARI+LC,1,D
2015,0.11491081718306875,TFT,SARI+AGE,TFT_SARI+AGE,1,D
2015,0.20650828818730133,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,1,D
2015,0.12917403739754488,DeepAR,SARI,DeepAR_SARI,1,D
2015,0.08734278739939628,DeepAR,SARI+LC,DeepAR_SARI+LC,1,D
2015,0.08452732792974976,DeepAR,SARI+AGE,DeepAR_SARI+AGE,1,D
2015,0.0810571608278493,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,1,D
2015,0.05002993086406966,Chronos,SARI,Chronos_SARI,1,D
2015,0.11086097822695165,AutoML,SARI,AutoML_SARI,1,D
2016,0.09641838102495504,TFT,SARI,TFT_SARI,1,D
2016,0.16838588065595536,TFT,SARI+LC,TFT_SARI+LC,1,D
2016,0.14107138219947052,TFT,SARI+AGE,TFT_SARI+AGE,1,D
2016,0.1504361087056534,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,1,D
2016,0.11281803580604922,DeepAR,SARI,DeepAR_SARI,1,D
2016,0.0674257683066134,DeepAR,SARI+LC,DeepAR_SARI+LC,1,D
2016,0.04906495810623919,DeepAR,SARI+AGE,DeepAR_SARI+AGE,1,D
2016,0.05976543460884802,DeepAR,SARI+AGE+LC,DeepAR_SARI+AGE+LC,1,D
2016,0.056746516028289305,Chronos,SARI,Chronos_SARI,1,D
2016,0.10285500133347719,AutoML,SARI,AutoML_SARI,1,D
2017,0.0792104546703719,TFT,SARI,TFT_SARI,1,D
2017,0.10968784061485445,TFT,SARI+LC,TFT_SARI+LC,1,D
2017,0.10203635611695847,TFT,SARI+AGE,TFT_SARI+AGE,1,D
2017,0.14655219201674305,TFT,SARI+AGE+LC,TFT_SARI+AGE+LC,1,D
2017,0.08646192083165949,DeepAR,SARI,DeepAR_SARI,1,D
