Year,lower_CI,upper_CI,prob_CI,algo,cov,day,within,resolution
2014,0.05,0.95,0.9,TFT,SARI,1,0.8181818181818182,D
2014,0.1,0.9,0.8,TFT,SARI,1,0.7196969696969697,D
2014,0.15,0.85,0.7,TFT,SARI,1,0.5757575757575758,D
2015,0.05,0.95,0.9,TFT,SARI,1,0.8181818181818182,D
2015,0.1,0.9,0.8,TFT,SARI,1,0.7878787878787878,D
2015,0.15,0.85,0.7,TFT,SARI,1,0.6515151515151515,D
2016,0.05,0.95,0.9,TFT,SARI,1,0.8636363636363636,D
2016,0.1,0.9,0.8,TFT,SARI,1,0.75,D
2016,0.15,0.85,0.7,TFT,SARI,1,0.6439393939393939,D
2017,0.05,0.95,0.9,TFT,SARI,1,0.8787878787878788,D
2017,0.1,0.9,0.8,TFT,SARI,1,0.8106060606060606,D
2017,0.15,0.85,0.7,TFT,SARI,1,0.6893939393939394,D
2018,0.05,0.95,0.9,TFT,SARI,1,0.9242424242424242,D
2018,0.1,0.9,0.8,TFT,SARI,1,0.8712121212121212,D
2018,0.15,0.85,0.7,TFT,SARI,1,0.7121212121212122,D
2019,0.05,0.95,0.9,TFT,SARI,1,0.9541984732824428,D
2019,0.1,0.9,0.8,TFT,SARI,1,0.8931297709923665,D
2019,0.15,0.85,0.7,TFT,SARI,1,0.7480916030534351,D
2014,0.05,0.95,0.9,TFT,SARI,2,0.8091603053435115,D
2014,0.1,0.9,0.8,TFT,SARI,2,0.6335877862595419,D
2014,0.15,0.85,0.7,TFT,SARI,2,0.549618320610687,D
2015,0.05,0.95,0.9,TFT,SARI,2,0.7786259541984732,D
2015,0.1,0.9,0.8,TFT,SARI,2,0.7175572519083969,D
2015,0.15,0.85,0.7,TFT,SARI,2,0.5801526717557252,D
2016,0.05,0.95,0.9,TFT,SARI,2,0.7709923664122137,D
2016,0.1,0.9,0.8,TFT,SARI,2,0.6793893129770993,D
2016,0.15,0.85,0.7,TFT,SARI,2,0.5572519083969466,D
2017,0.05,0.95,0.9,TFT,SARI,2,0.8625954198473282,D
2017,0.1,0.9,0.8,TFT,SARI,2,0.7480916030534351,D
2017,0.15,0.85,0.7,TFT,SARI,2,0.6106870229007634,D
2018,0.05,0.95,0.9,TFT,SARI,2,0.8854961832061069,D
